Benchmark,len(list_before_reduction),len(list_after_reduction),kendall_corr,kendall_p_value,spearman_corr,spearman_p_value
xml-4c99b96-7,5,1,-0.6324555320336759,0.15729920705028516,-0.7071067811865475,0.18169011381620928
xml-4c99b96-7,4,2,-0.8164965809277261,0.12133525035848208,-0.8944271909999159,0.10557280900008414
xml-4c99b96-7,8,1,-0.07142857142857142,0.8272593465627113,-0.08247860988423225,0.8460525238666443
xml-4c99b96-7,7,2,nan,nan,nan,nan
xml-4c99b96-7,6,1,nan,nan,nan,nan
xml-4c99b96-7,6,1,nan,nan,nan,nan
xml-4c99b96-7,2,2,nan,nan,nan,nan
xml-4c99b96-7,2,2,nan,nan,nan,nan
xml-4c99b96-7,1,1,nan,nan,nan,nan
xml-4c99b96-7,1,1,nan,nan,nan,nan
xml-4c99b96-7,2,2,nan,nan,nan,nan
xml-4c99b96-7,2,2,nan,nan,nan,nan
xml-4c99b96-7,1,1,nan,nan,nan,nan
xml-4c99b96-7,1,1,nan,nan,nan,nan
xml-4c99b96-10,6,2,nan,nan,nan,nan
xml-4c99b96-10,2,2,nan,nan,nan,nan
xml-4c99b96-19,7,1,-0.5345224838248489,0.13361440253771611,-0.6123724356957945,0.14381080871160384
xml-4c99b96-19,4,2,nan,nan,nan,nan
xml-4c99b96-19,2,2,nan,nan,nan,nan
xml-4c99b96-19,2,2,nan,nan,nan,nan
xml-4c99b96-18,6,2,nan,nan,nan,nan
xml-4c99b96-18,2,2,nan,nan,nan,nan
xml-1e9bc83-5,1,1,nan,nan,nan,nan
xml-1e9bc83-5,3,2,0.816496580927726,0.22067136191984693,0.8660254037844387,0.3333333333333332
xml-1e9bc83-5,7,2,nan,nan,nan,nan
xml-1e9bc83-5,6,1,nan,nan,nan,nan
xml-1e9bc83-5,6,2,nan,nan,nan,nan
xml-1e9bc83-5,2,2,nan,nan,nan,nan
xml-1e9bc83-5,2,2,nan,nan,nan,nan
xml-1e9bc83-5,2,2,nan,nan,nan,nan
xml-1e9bc83-5,1,1,nan,nan,nan,nan
xml-1e9bc83-5,2,2,nan,nan,nan,nan
xml-1e9bc83-5,2,2,nan,nan,nan,nan
xml-1e9bc83-5,2,2,nan,nan,nan,nan
xml-1e9bc83-5,1,1,nan,nan,nan,nan
xml-1e9bc83-2,3,2,0.816496580927726,0.22067136191984693,0.8660254037844387,0.3333333333333332
xml-1e9bc83-2,1,1,nan,nan,nan,nan
xml-1e9bc83-2,6,2,nan,nan,nan,nan
xml-1e9bc83-2,5,1,nan,nan,nan,nan
xml-1e9bc83-2,2,2,nan,nan,nan,nan
xml-1e9bc83-2,2,2,nan,nan,nan,nan
xml-1e9bc83-2,1,1,nan,nan,nan,nan
xml-1e9bc83-2,2,2,nan,nan,nan,nan
xml-1e9bc83-2,2,2,nan,nan,nan,nan
xml-1e9bc83-2,1,1,nan,nan,nan,nan
xml-1e9bc83-3,6,1,-0.5773502691896257,0.1432349075246697,-0.6546536707079772,0.15830242337545783
xml-1e9bc83-3,4,2,-0.8164965809277261,0.12133525035848208,-0.8944271909999159,0.10557280900008414
xml-1e9bc83-3,6,1,nan,nan,nan,nan
xml-1e9bc83-3,5,1,nan,nan,nan,nan
xml-1e9bc83-3,4,1,nan,nan,nan,nan
xml-1e9bc83-3,2,2,nan,nan,nan,nan
xml-1e9bc83-3,1,1,nan,nan,nan,nan
xml-1e9bc83-3,1,1,nan,nan,nan,nan
xml-1e9bc83-3,1,1,nan,nan,nan,nan
xml-1e9bc83-3,2,2,nan,nan,nan,nan
xml-1e9bc83-3,1,1,nan,nan,nan,nan
xml-1e9bc83-3,1,1,nan,nan,nan,nan
xml-1e9bc83-3,1,1,nan,nan,nan,nan
xml-1e9bc83-4,7,2,-0.6900655593423543,0.05280751141611358,-0.7905694150420949,0.03431659920639634
xml-1e9bc83-4,9,2,-0.5345224838248488,0.07898257926378298,-0.6210590034081188,0.07425299207352293
xml-1e9bc83-4,7,2,-0.35856858280031806,0.40538055645894233,-0.44721359549995787,0.45018485575210093
xml-1e9bc83-4,3,1,-0.816496580927726,0.22067136191984693,-0.8660254037844387,0.3333333333333332
xml-1e9bc83-4,6,1,nan,nan,nan,nan
xml-1e9bc83-4,1,1,nan,nan,nan,nan
xml-1e9bc83-4,2,1,nan,nan,nan,nan
xml-1e9bc83-4,2,2,nan,nan,nan,nan
xml-1e9bc83-4,2,2,nan,nan,nan,nan
xml-1e9bc83-4,2,2,nan,nan,nan,nan
xml-1e9bc83-4,1,1,nan,nan,nan,nan
